gene_symbol,ensg_id,gene_type,gene_length,ensp_id,protein_length
RAB24,ENSG00000169228,protein_coding,2065,ENSP00000304376,203
PRELID1,ENSG00000169230,protein_coding,1840,ENSP00000302114,219
THBS3,ENSG00000169231,protein_coding,4623,ENSP00000357362,956
CA5B,ENSG00000169239,protein_coding,8522,ENSP00000314099,317
SLC50A1,ENSG00000169241,protein_coding,2340,ENSP00000357389,221
EFNA1,ENSG00000169242,protein_coding,2165,ENSP00000357392,205
CXCL10,ENSG00000169245,protein_coding,1175,ENSP00000305651,98
NPIPB3,ENSG00000169246,protein_coding,3972,ENSP00000444096,420
SH3TC2,ENSG00000169247,protein_coding,38112,ENSP00000423660,1288
CXCL11,ENSG00000169248,protein_coding,1781,ENSP00000306884,94
ZRSR2,ENSG00000169249,protein_coding,7485,ENSP00000510140,486
NMD3,ENSG00000169251,protein_coding,4869,ENSP00000417559,529
ADRB2,ENSG00000169252,protein_coding,2013,ENSP00000305372,413
B3GALNT1,ENSG00000169255,protein_coding,7816,ENSP00000323479,331
GPRIN1,ENSG00000169258,protein_coding,4234,ENSP00000305839,1008
HSPB3,ENSG00000169271,protein_coding,679,ENSP00000303394,150
KCNAB1,ENSG00000169282,protein_coding,6384,ENSP00000419952,419
MRPL1,ENSG00000169288,protein_coding,1628,ENSP00000315017,325
SHE,ENSG00000169291,protein_coding,8740,ENSP00000307369,495
NR0B1,ENSG00000169297,protein_coding,1995,ENSP00000368253,470
PGM2,ENSG00000169299,protein_coding,3677,ENSP00000371393,612
STK32A,ENSG00000169302,protein_coding,7916,ENSP00000381535,407
IL1RAPL1,ENSG00000169306,protein_coding,3615,ENSP00000368278,696
P2RY12,ENSG00000169313,protein_coding,2337,ENSP00000307259,342
C22orf15,ENSG00000169314,protein_coding,2119,ENSP00000305096,157
OR5AU1,ENSG00000169327,protein_coding,8409,ENSP00000493431,362
MINAR1,ENSG00000169330,protein_coding,6994,ENSP00000307461,916
PDILT,ENSG00000169340,protein_coding,2271,ENSP00000305465,584
UMOD,ENSG00000169344,protein_coding,3410,ENSP00000379438,673
GP2,ENSG00000169347,protein_coding,4046,ENSP00000370767,537
SLC33A1,ENSG00000169359,protein_coding,10040,ENSP00000352456,549
SNUPN,ENSG00000169371,protein_coding,3516,ENSP00000309831,360
CRADD,ENSG00000169372,protein_coding,4276,ENSP00000327647,199
SIN3A,ENSG00000169375,protein_coding,12845,ENSP00000515832,1278
ARL13B,ENSG00000169379,protein_coding,6841,ENSP00000505402,457
RNASE2,ENSG00000169385,protein_coding,720,ENSP00000303276,161
ELSPBP1,ENSG00000169393,protein_coding,1142,ENSP00000340660,223
RNASE3,ENSG00000169397,protein_coding,734,ENSP00000302324,160
PTK2,ENSG00000169398,protein_coding,13742,ENSP00000429129,1096
RSPH10B2,ENSG00000169402,protein_coding,4998,ENSP00000297186,870
PTAFR,ENSG00000169403,protein_coding,4208,ENSP00000301974,342
PTPN9,ENSG00000169410,protein_coding,8658,ENSP00000482732,593
RNASE6,ENSG00000169413,protein_coding,844,ENSP00000302046,150
NPR1,ENSG00000169418,protein_coding,4952,ENSP00000357669,1061
KCNK9,ENSG00000169427,protein_coding,6784,ENSP00000302166,374
CXCL8,ENSG00000169429,protein_coding,2588,ENSP00000306512,99
SCN9A,ENSG00000169432,protein_coding,13946,ENSP00000304748,1988
RASSF6,ENSG00000169435,protein_coding,6630,ENSP00000340578,369
COL22A1,ENSG00000169436,protein_coding,7865,ENSP00000303153,1626
SDC2,ENSG00000169439,protein_coding,4084,ENSP00000307046,201
CD52,ENSG00000169442,protein_coding,934,ENSP00000363330,61
MMGT1,ENSG00000169446,protein_coding,5186,ENSP00000306220,131
SPRR1B,ENSG00000169469,protein_coding,619,ENSP00000306461,89
SPRR1A,ENSG00000169474,protein_coding,662,ENSP00000357751,89
OR4K14,ENSG00000169484,protein_coding,1245,ENSP00000493106,310
OR4K15,ENSG00000169488,protein_coding,975,ENSP00000304077,324
TM2D2,ENSG00000169490,protein_coding,4435,ENSP00000416050,214
HTRA4,ENSG00000169495,protein_coding,2032,ENSP00000305919,476
PLEKHA2,ENSG00000169499,protein_coding,6328,ENSP00000482228,425
CLIC4,ENSG00000169504,protein_coding,4467,ENSP00000363500,253
SLC38A11,ENSG00000169507,protein_coding,7384,ENSP00000508649,462
GPR183,ENSG00000169508,protein_coding,1685,ENSP00000365596,361
CRCT1,ENSG00000169509,protein_coding,718,ENSP00000357779,99
CCDC8,ENSG00000169515,protein_coding,3236,ENSP00000513420,608
METTL15,ENSG00000169519,protein_coding,7778,ENSP00000384369,407
ZNF280A,ENSG00000169548,protein_coding,2148,ENSP00000302855,542
MUC15,ENSG00000169550,protein_coding,3587,ENSP00000416753,361
CT55,ENSG00000169551,protein_coding,1728,ENSP00000276241,264
ZEB2,ENSG00000169554,protein_coding,26151,ENSP00000490317,1239
GJB1,ENSG00000169562,protein_coding,4654,ENSP00000354900,283
PCBP1,ENSG00000169564,protein_coding,1727,ENSP00000305556,356
HINT1,ENSG00000169567,protein_coding,7118,ENSP00000304229,126
DTWD2,ENSG00000169570,protein_coding,5867,ENSP00000425048,298
VPREB1,ENSG00000169575,protein_coding,650,ENSP00000385361,145
CLIC3,ENSG00000169583,protein_coding,969,ENSP00000419378,236
INO80E,ENSG00000169592,protein_coding,5655,ENSP00000457016,244
BNC1,ENSG00000169594,protein_coding,4902,ENSP00000307041,994
DFFB,ENSG00000169598,protein_coding,3870,ENSP00000339524,362
NFU1,ENSG00000169599,protein_coding,1834,ENSP00000387219,254
ANTXR1,ENSG00000169604,protein_coding,17891,ENSP00000301945,564
GKN1,ENSG00000169605,protein_coding,1155,ENSP00000501093,199
CKAP2L,ENSG00000169607,protein_coding,5464,ENSP00000305204,745
C15orf40,ENSG00000169609,protein_coding,13899,ENSP00000403987,167
RAMAC,ENSG00000169612,protein_coding,1565,ENSP00000307181,118
PROKR1,ENSG00000169618,protein_coding,4287,ENSP00000303775,393
APLF,ENSG00000169621,protein_coding,7124,ENSP00000307004,511
BOLA2B,ENSG00000169627,protein_coding,1367,ENSP00000306752,152
RGPD8,ENSG00000169629,protein_coding,8609,ENSP00000306637,1765
HIC2,ENSG00000169635,protein_coding,7252,ENSP00000385319,615
LUZP1,ENSG00000169641,protein_coding,9818,ENSP00000303758,1076
HEXD,ENSG00000169660,protein_coding,4541,ENSP00000337854,585
DRD5,ENSG00000169676,protein_coding,2376,ENSP00000306129,477
BUB1,ENSG00000169679,protein_coding,6304,ENSP00000302530,1085
SPNS1,ENSG00000169682,protein_coding,3792,ENSP00000454360,573
LRRC45,ENSG00000169683,protein_coding,3603,ENSP00000306760,670
CHRNA5,ENSG00000169684,protein_coding,3623,ENSP00000299565,468
MT1B,ENSG00000169688,protein_coding,393,ENSP00000456056,70
CENPX,ENSG00000169689,protein_coding,1531,ENSP00000464357,131
AGPAT2,ENSG00000169692,protein_coding,1832,ENSP00000360761,278
ASPSCR1,ENSG00000169696,protein_coding,12097,ENSP00000306625,647
GP9,ENSG00000169704,protein_coding,877,ENSP00000303942,177
FASN,ENSG00000169710,protein_coding,9321,ENSP00000304592,2511
CNBP,ENSG00000169714,protein_coding,3584,ENSP00000410769,179
MT1E,ENSG00000169715,protein_coding,1052,ENSP00000328137,127
ACTRT2,ENSG00000169717,protein_coding,1437,ENSP00000367658,377
DUS1L,ENSG00000169718,protein_coding,5999,ENSP00000303515,473
GPS1,ENSG00000169727,protein_coding,6145,ENSP00000516490,559
RFNG,ENSG00000169733,protein_coding,3865,ENSP00000307971,331
DCXR,ENSG00000169738,protein_coding,1879,ENSP00000303356,244
ZNF32,ENSG00000169740,protein_coding,1460,ENSP00000363556,273
LDB2,ENSG00000169744,protein_coding,5455,ENSP00000306772,373
RAC3,ENSG00000169750,protein_coding,1473,ENSP00000304283,192
NRG4,ENSG00000169752,protein_coding,5020,ENSP00000378367,115
LIMS1,ENSG00000169756,protein_coding,9072,ENSP00000511985,398
TMEM266,ENSG00000169758,protein_coding,5144,ENSP00000373594,523
NLGN1,ENSG00000169760,protein_coding,17911,ENSP00000410374,863
TAPT1,ENSG00000169762,protein_coding,7758,ENSP00000385347,567
UGP2,ENSG00000169764,protein_coding,6791,ENSP00000411803,517
TAS2R1,ENSG00000169777,protein_coding,3373,ENSP00000371932,299
LINGO1,ENSG00000169783,protein_coding,5324,ENSP00000347451,620
PRY,ENSG00000169789,protein_coding,1353,ENSP00000302319,147
RBMY1F,ENSG00000169800,protein_coding,1921,ENSP00000307155,496
PRY2,ENSG00000169807,protein_coding,1353,ENSP00000303300,147
HNRNPF,ENSG00000169813,protein_coding,3273,ENSP00000338477,415
BTD,ENSG00000169814,protein_coding,17659,ENSP00000306477,523
CSGALNACT2,ENSG00000169826,protein_coding,3765,ENSP00000363590,542
TACR3,ENSG00000169836,protein_coding,5359,ENSP00000303325,465
GSX1,ENSG00000169840,protein_coding,1823,ENSP00000304331,264
PCDH7,ENSG00000169851,protein_coding,12903,ENSP00000484874,1269
ROBO1,ENSG00000169855,protein_coding,11050,ENSP00000420321,1651
ONECUT1,ENSG00000169856,protein_coding,6110,ENSP00000302630,465
AVEN,ENSG00000169857,protein_coding,4005,ENSP00000306822,362
P2RY1,ENSG00000169860,protein_coding,6309,ENSP00000304767,373
CTNND2,ENSG00000169862,protein_coding,7317,ENSP00000307134,1225
TRIM56,ENSG00000169871,protein_coding,11131,ENSP00000305161,755
MUC17,ENSG00000169876,protein_coding,14693,ENSP00000302716,4493
AHSP,ENSG00000169877,protein_coding,526,ENSP00000307199,102
WNT10B,ENSG00000169884,protein_coding,2601,ENSP00000301061,389
CALML6,ENSG00000169885,protein_coding,2040,ENSP00000304643,181
REPS2,ENSG00000169891,protein_coding,11336,ENSP00000349824,660
MUC3A,ENSG00000169894,protein_coding,11396,ENSP00000368771,3323
SYAP1,ENSG00000169895,protein_coding,6442,ENSP00000369500,352
ITGAM,ENSG00000169896,protein_coding,5688,ENSP00000496959,1153
PYDC1,ENSG00000169900,protein_coding,637,ENSP00000304336,89
TPST1,ENSG00000169902,protein_coding,2805,ENSP00000302413,370
TM4SF4,ENSG00000169903,protein_coding,1530,ENSP00000305852,202
TOR1AIP2,ENSG00000169905,protein_coding,18876,ENSP00000356584,470
S100G,ENSG00000169906,protein_coding,455,ENSP00000369547,79
TM4SF1,ENSG00000169908,protein_coding,3495,ENSP00000304277,202
OTUD3,ENSG00000169914,protein_coding,6885,ENSP00000364261,398
OTUD7A,ENSG00000169918,protein_coding,14352,ENSP00000305926,933
GUSB,ENSG00000169919,protein_coding,3893,ENSP00000302728,651
BRD3,ENSG00000169925,protein_coding,6885,ENSP00000305918,726
KLF13,ENSG00000169926,protein_coding,9429,ENSP00000302456,288
FRMPD4,ENSG00000169933,protein_coding,10456,ENSP00000499481,1780
ZFPM2,ENSG00000169946,protein_coding,8036,ENSP00000384179,1151
ZNF764,ENSG00000169951,protein_coding,2989,ENSP00000252797,408
HSFY2,ENSG00000169953,protein_coding,2922,ENSP00000306549,401
ZNF747,ENSG00000169955,protein_coding,3936,ENSP00000509633,331
ZNF768,ENSG00000169957,protein_coding,2369,ENSP00000369777,540
TAS1R3,ENSG00000169962,protein_coding,3475,ENSP00000344411,852
TMEM42,ENSG00000169964,protein_coding,3071,ENSP00000306564,159
MAP3K2,ENSG00000169967,protein_coding,11613,ENSP00000343463,619
PUSL1,ENSG00000169972,protein_coding,2640,ENSP00000368318,303
SF3B5,ENSG00000169976,protein_coding,690,ENSP00000356541,86
ZNF35,ENSG00000169981,protein_coding,2658,ENSP00000379368,527
TIGD4,ENSG00000169989,protein_coding,2438,ENSP00000355162,512
IFFO2,ENSG00000169991,protein_coding,6179,ENSP00000387941,517
NLGN2,ENSG00000169992,protein_coding,5717,ENSP00000305288,835
MYO7B,ENSG00000169994,protein_coding,8910,ENSP00000386461,2142
CHD3,ENSG00000170004,protein_coding,11016,ENSP00000515165,2114
TMEM154,ENSG00000170006,protein_coding,11724,ENSP00000302144,183
MYRIP,ENSG00000170011,protein_coding,5868,ENSP00000301972,859
ALCAM,ENSG00000170017,protein_coding,7179,ENSP00000305988,583
YWHAG,ENSG00000170027,protein_coding,3705,ENSP00000306330,247
UBE2E3,ENSG00000170035,protein_coding,2974,ENSP00000376215,207
CNTROB,ENSG00000170037,protein_coding,6236,ENSP00000369614,925
TRAPPC1,ENSG00000170043,protein_coding,1171,ENSP00000302783,145
ZPLD1,ENSG00000170044,protein_coding,5130,ENSP00000307801,431
KCNAB3,ENSG00000170049,protein_coding,4633,ENSP00000302719,404
SERPINA9,ENSG00000170054,protein_coding,2561,ENSP00000337133,435
FAM153A,ENSG00000170074,protein_coding,14433,ENSP00000481950,387
GPR37L1,ENSG00000170075,protein_coding,7581,ENSP00000356251,481
SIMC1,ENSG00000170085,protein_coding,5536,ENSP00000410552,891
TMEM192,ENSG00000170088,protein_coding,10182,ENSP00000305069,271
NSG2,ENSG00000170091,protein_coding,3844,ENSP00000307722,171
SPDYE5,ENSG00000170092,protein_coding,3281,ENSP00000485398,402
SERPINA6,ENSG00000170099,protein_coding,1847,ENSP00000342850,405
ZNF778,ENSG00000170100,protein_coding,11343,ENSP00000405289,757
NIPA1,ENSG00000170113,protein_coding,8686,ENSP00000337452,329
FOXD4,ENSG00000170122,protein_coding,2187,ENSP00000371940,439
GPR25,ENSG00000170128,protein_coding,1198,ENSP00000301917,361
UBE2E1,ENSG00000170142,protein_coding,3346,ENSP00000303709,193
HNRNPA3,ENSG00000170144,protein_coding,8688,ENSP00000503903,396
SIK2,ENSG00000170145,protein_coding,9740,ENSP00000305976,926
RNF150,ENSG00000170153,protein_coding,11012,ENSP00000425840,438
CCDC144A,ENSG00000170160,protein_coding,15566,ENSP00000513304,1473
VGLL2,ENSG00000170162,protein_coding,2231,ENSP00000320957,317
HOXD4,ENSG00000170166,protein_coding,1136,ENSP00000302548,255
CHRNB1,ENSG00000170175,protein_coding,4332,ENSP00000304290,501
HOXD12,ENSG00000170178,protein_coding,2577,ENSP00000385586,270
GYPA,ENSG00000170180,protein_coding,4251,ENSP00000354003,150
USP38,ENSG00000170185,protein_coding,11838,ENSP00000303434,1042
SLC16A5,ENSG00000170190,protein_coding,3089,ENSP00000330141,505
NANP,ENSG00000170191,protein_coding,3803,ENSP00000302441,248
ANKK1,ENSG00000170209,protein_coding,2608,ENSP00000306678,765
ADRA1B,ENSG00000170214,protein_coding,3147,ENSP00000306662,520
ADPRM,ENSG00000170222,protein_coding,1945,ENSP00000369099,342
FABP6,ENSG00000170231,protein_coding,1088,ENSP00000377549,177
PWWP2A,ENSG00000170234,protein_coding,6537,ENSP00000305151,755
USP50,ENSG00000170236,protein_coding,3967,ENSP00000483490,343
USP47,ENSG00000170242,protein_coding,13722,ENSP00000382382,1375
PDCD6IP,ENSG00000170248,protein_coding,8819,ENSP00000411825,873
MRGPRX1,ENSG00000170255,protein_coding,1639,ENSP00000305766,322
ZNF212,ENSG00000170260,protein_coding,3179,ENSP00000338572,495
MRAP,ENSG00000170262,protein_coding,1341,ENSP00000306697,172
FAM161A,ENSG00000170264,protein_coding,5258,ENSP00000385158,716
ZNF282,ENSG00000170265,protein_coding,3766,ENSP00000477841,671
GLB1,ENSG00000170266,protein_coding,4335,ENSP00000306920,677
GON7,ENSG00000170270,protein_coding,1125,ENSP00000306320,100
FAXDC2,ENSG00000170271,protein_coding,6928,ENSP00000320604,333
CRTAP,ENSG00000170275,protein_coding,6660,ENSP00000323696,401
HSPB2,ENSG00000170276,protein_coding,843,ENSP00000302476,182
C7orf33,ENSG00000170279,protein_coding,1153,ENSP00000304071,177
CNGB3,ENSG00000170289,protein_coding,5896,ENSP00000316605,809
SLN,ENSG00000170290,protein_coding,906,ENSP00000304707,31
ELP5,ENSG00000170291,protein_coding,3039,ENSP00000346412,300
CMTM8,ENSG00000170293,protein_coding,1170,ENSP00000307741,173
GABARAP,ENSG00000170296,protein_coding,1951,ENSP00000306866,117
LGALS9B,ENSG00000170298,protein_coding,2670,ENSP00000388841,356
STX8,ENSG00000170310,protein_coding,3455,ENSP00000305255,236
CDK1,ENSG00000170312,protein_coding,3909,ENSP00000378699,297
UBB,ENSG00000170315,protein_coding,1567,ENSP00000304697,229
NFRKB,ENSG00000170322,protein_coding,6335,ENSP00000436926,1324
FABP4,ENSG00000170323,protein_coding,1369,ENSP00000256104,132
FRMPD2,ENSG00000170324,protein_coding,8617,ENSP00000490201,1397
PRDM10,ENSG00000170325,protein_coding,6626,ENSP00000351686,1160
B3GNT2,ENSG00000170340,protein_coding,2859,ENSP00000305595,397
FOS,ENSG00000170345,protein_coding,4146,ENSP00000306245,380
TMED10,ENSG00000170348,protein_coding,4956,ENSP00000303145,219
SETMAR,ENSG00000170364,protein_coding,3237,ENSP00000373354,684
SMAD1,ENSG00000170365,protein_coding,7094,ENSP00000305769,465
CST5,ENSG00000170367,protein_coding,755,ENSP00000307132,142
CST2,ENSG00000170369,protein_coding,746,ENSP00000307540,141
EMX2,ENSG00000170370,protein_coding,3261,ENSP00000450962,252
CST1,ENSG00000170373,protein_coding,861,ENSP00000305731,141
SP7,ENSG00000170374,protein_coding,3386,ENSP00000302812,431
TCAF2,ENSG00000170379,protein_coding,6410,ENSP00000404265,919
SEMA3E,ENSG00000170381,protein_coding,8450,ENSP00000496491,775
LRRN2,ENSG00000170382,protein_coding,5686,ENSP00000356143,713
SLC30A1,ENSG00000170385,protein_coding,5893,ENSP00000355968,507
DCLK2,ENSG00000170390,protein_coding,4416,ENSP00000303887,783
ZNF804A,ENSG00000170396,protein_coding,4527,ENSP00000303252,1209
GPRC5C,ENSG00000170412,protein_coding,7534,ENSP00000499092,486
TMEM182,ENSG00000170417,protein_coding,6084,ENSP00000394178,229
VSTM2A,ENSG00000170419,protein_coding,5967,ENSP00000384701,309
KRT8,ENSG00000170421,protein_coding,6881,ENSP00000449404,511
KRT78,ENSG00000170423,protein_coding,3260,ENSP00000306261,520
ADORA2B,ENSG00000170425,protein_coding,2338,ENSP00000304501,332
SDR9C7,ENSG00000170426,protein_coding,1789,ENSP00000293502,313
MGMT,ENSG00000170430,protein_coding,6527,ENSP00000302111,238
METTL7B,ENSG00000170439,protein_coding,1316,ENSP00000377796,244
KRT86,ENSG00000170442,protein_coding,2424,ENSP00000293525,486
HARS1,ENSG00000170445,protein_coding,14155,ENSP00000425889,512
NFXL1,ENSG00000170448,protein_coding,4494,ENSP00000333113,911
KRT75,ENSG00000170454,protein_coding,2170,ENSP00000252245,551
DENND5B,ENSG00000170456,protein_coding,11346,ENSP00000444889,1309
CD14,ENSG00000170458,protein_coding,1647,ENSP00000304236,375
DNAJC18,ENSG00000170464,protein_coding,6498,ENSP00000302843,358
KRT6C,ENSG00000170465,protein_coding,2916,ENSP00000252250,564
RIOX1,ENSG00000170468,protein_coding,2462,ENSP00000477507,641
SPATA24,ENSG00000170469,protein_coding,1205,ENSP00000302917,293
RALGAPB,ENSG00000170471,protein_coding,12631,ENSP00000262879,1494
PYM1,ENSG00000170473,protein_coding,2406,ENSP00000386156,204
MZB1,ENSG00000170476,protein_coding,2286,ENSP00000303920,189
KRT4,ENSG00000170477,protein_coding,2877,ENSP00000448220,520
SLC23A1,ENSG00000170482,protein_coding,3203,ENSP00000302851,602
KRT74,ENSG00000170484,protein_coding,3006,ENSP00000447447,543
NPAS2,ENSG00000170485,protein_coding,12504,ENSP00000338283,824
KRT72,ENSG00000170486,protein_coding,2154,ENSP00000293745,511
KISS1,ENSG00000170498,protein_coding,714,ENSP00000356162,138
LONRF2,ENSG00000170500,protein_coding,15117,ENSP00000377086,754
NUDT9,ENSG00000170502,protein_coding,3194,ENSP00000303575,350
HSD17B13,ENSG00000170509,protein_coding,2377,ENSP00000333300,300
PA2G4,ENSG00000170515,protein_coding,3580,ENSP00000302886,394
COX7B2,ENSG00000170516,protein_coding,817,ENSP00000347799,81
ELOVL6,ENSG00000170522,protein_coding,7274,ENSP00000304736,265
KRT83,ENSG00000170523,protein_coding,1875,ENSP00000293670,493
PFKFB3,ENSG00000170525,protein_coding,6114,ENSP00000492001,568
TMC7,ENSG00000170537,protein_coding,5638,ENSP00000455041,758
ARL6IP1,ENSG00000170540,protein_coding,3618,ENSP00000306788,203
SERPINB9,ENSG00000170542,protein_coding,4240,ENSP00000370074,376
SMAGP,ENSG00000170545,protein_coding,3083,ENSP00000381471,97
IRX1,ENSG00000170549,protein_coding,2080,ENSP00000305244,480
CDH2,ENSG00000170558,protein_coding,8583,ENSP00000269141,906
IRX2,ENSG00000170561,protein_coding,3399,ENSP00000307006,471
EMB,ENSG00000170571,protein_coding,5240,ENSP00000302289,327
SIX2,ENSG00000170577,protein_coding,2206,ENSP00000304502,291
DLGAP1,ENSG00000170579,protein_coding,12189,ENSP00000316377,977
STAT2,ENSG00000170581,protein_coding,9310,ENSP00000315768,851
NUDCD2,ENSG00000170584,protein_coding,9140,ENSP00000304854,157
IRF2BP1,ENSG00000170604,protein_coding,2534,ENSP00000307265,584
OR9K2,ENSG00000170605,protein_coding,3265,ENSP00000493006,313
HSPA4,ENSG00000170606,protein_coding,5075,ENSP00000302961,840
FOXA3,ENSG00000170608,protein_coding,2126,ENSP00000304004,350
GARIN3,ENSG00000170613,protein_coding,2515,ENSP00000305596,605
SLC26A5,ENSG00000170615,protein_coding,3407,ENSP00000377328,746
COMMD5,ENSG00000170619,protein_coding,2917,ENSP00000304544,224
SGCD,ENSG00000170624,protein_coding,10584,ENSP00000338343,290
GTSF1,ENSG00000170627,protein_coding,2524,ENSP00000446918,176
ZNF16,ENSG00000170631,protein_coding,5237,ENSP00000276816,682
ARMC10,ENSG00000170632,protein_coding,4575,ENSP00000319412,343
RNF34,ENSG00000170633,protein_coding,4677,ENSP00000376257,507
ACYP2,ENSG00000170634,protein_coding,4964,ENSP00000475986,172
TRABD,ENSG00000170638,protein_coding,3155,ENSP00000379173,379
ATF7,ENSG00000170653,protein_coding,7985,ENSP00000449938,494
RASA4B,ENSG00000170667,protein_coding,7305,ENSP00000417895,803
SOCS6,ENSG00000170677,protein_coding,5839,ENSP00000381034,535
CAVIN4,ENSG00000170681,protein_coding,3098,ENSP00000418668,364
OR10A3,ENSG00000170683,protein_coding,2650,ENSP00000493303,314
ZNF296,ENSG00000170684,protein_coding,1634,ENSP00000302770,475
HOXB9,ENSG00000170689,protein_coding,2586,ENSP00000309439,250
TTLL6,ENSG00000170703,protein_coding,5113,ENSP00000377043,891
POLH,ENSG00000170734,protein_coding,8368,ENSP00000361310,713
SYT9,ENSG00000170743,protein_coding,4774,ENSP00000324419,491
KCNS3,ENSG00000170745,protein_coding,3128,ENSP00000305824,491
RBMXL2,ENSG00000170748,protein_coding,2151,ENSP00000304139,392
KIF5B,ENSG00000170759,protein_coding,5866,ENSP00000307078,963
GPR37,ENSG00000170775,protein_coding,5298,ENSP00000306449,613
AKAP13,ENSG00000170776,protein_coding,20280,ENSP00000354718,2817
TPD52L3,ENSG00000170777,protein_coding,3456,ENSP00000341677,140
CDCA4,ENSG00000170779,protein_coding,2448,ENSP00000337226,241
OR10A4,ENSG00000170782,protein_coding,995,ENSP00000369157,315
SDR16C5,ENSG00000170786,protein_coding,3284,ENSP00000431010,318
DYDC1,ENSG00000170788,protein_coding,1237,ENSP00000361276,177
OR10A2,ENSG00000170790,protein_coding,5390,ENSP00000493131,303
CHCHD7,ENSG00000170791,protein_coding,5877,ENSP00000306425,110
HTRA3,ENSG00000170801,protein_coding,3319,ENSP00000303766,453
FOXN2,ENSG00000170802,protein_coding,5482,ENSP00000343633,431
LMOD2,ENSG00000170807,protein_coding,2672,ENSP00000411932,547
BFSP2,ENSG00000170819,protein_coding,2009,ENSP00000304987,415
FSHR,ENSG00000170820,protein_coding,3160,ENSP00000384708,695
USP32,ENSG00000170832,protein_coding,9522,ENSP00000300896,1604
CEL,ENSG00000170835,protein_coding,2381,ENSP00000361151,753
PPM1D,ENSG00000170836,protein_coding,9408,ENSP00000306682,605
GPR27,ENSG00000170837,protein_coding,2642,ENSP00000303149,375
ENSG00000170846,ENSG00000170846,protein_coding,3599,ENSP00000495193,119
PSG6,ENSG00000170848,protein_coding,5133,ENSP00000292125,435
KBTBD2,ENSG00000170852,protein_coding,4850,ENSP00000302586,623
RIOX2,ENSG00000170854,protein_coding,6880,ENSP00000328251,465
TRIAP1,ENSG00000170855,protein_coding,1411,ENSP00000449795,76
LSM3,ENSG00000170860,protein_coding,3359,ENSP00000302160,102
KIAA0232,ENSG00000170871,protein_coding,8499,ENSP00000303928,1395
MTSS1,ENSG00000170873,protein_coding,7777,ENSP00000322804,759
TMEM43,ENSG00000170876,protein_coding,3717,ENSP00000303992,400
RNF139,ENSG00000170881,protein_coding,3276,ENSP00000304051,664
RPS9,ENSG00000170889,protein_coding,4304,ENSP00000302896,194
PLA2G1B,ENSG00000170890,protein_coding,624,ENSP00000312286,148
CYTL1,ENSG00000170891,protein_coding,989,ENSP00000303550,136
TSEN34,ENSG00000170892,protein_coding,3542,ENSP00000499595,312
TRH,ENSG00000170893,protein_coding,1592,ENSP00000303452,242
GSTA4,ENSG00000170899,protein_coding,2101,ENSP00000359998,222
MSANTD4,ENSG00000170903,protein_coding,5108,ENSP00000304713,345
NDUFA3,ENSG00000170906,protein_coding,2475,ENSP00000398290,84
OSCAR,ENSG00000170909,protein_coding,2069,ENSP00000352671,286
PAQR8,ENSG00000170915,protein_coding,5034,ENSP00000353953,354
NUDT6,ENSG00000170917,protein_coding,6582,ENSP00000306070,316
OR7G3,ENSG00000170920,protein_coding,939,ENSP00000302867,312
TANC2,ENSG00000170921,protein_coding,23404,ENSP00000510600,2074
OR7G2,ENSG00000170923,protein_coding,3015,ENSP00000492896,324
TEX13B,ENSG00000170925,protein_coding,1248,ENSP00000303777,312
PKHD1,ENSG00000170927,protein_coding,17443,ENSP00000360158,4074
OR1M1,ENSG00000170929,protein_coding,2588,ENSP00000401966,313
NCBP2L,ENSG00000170935,protein_coding,2079,ENSP00000476955,153
DNAJC24,ENSG00000170946,protein_coding,8578,ENSP00000417548,149
MBD3L1,ENSG00000170948,protein_coding,979,ENSP00000304198,194
ZNF160,ENSG00000170949,protein_coding,8509,ENSP00000409597,818
PGK2,ENSG00000170950,protein_coding,1626,ENSP00000305995,417
OR8B12,ENSG00000170953,protein_coding,2082,ENSP00000307159,310
ZNF415,ENSG00000170954,protein_coding,3780,ENSP00000243643,555
CAVIN3,ENSG00000170955,protein_coding,1557,ENSP00000432047,293
CEACAM3,ENSG00000170956,protein_coding,2931,ENSP00000349971,252
DCDC1,ENSG00000170959,protein_coding,13160,ENSP00000507427,1786
HAS2,ENSG00000170961,protein_coding,4240,ENSP00000306991,552
PDGFD,ENSG00000170962,protein_coding,4263,ENSP00000376865,370
PLAC1,ENSG00000170965,protein_coding,1904,ENSP00000352173,212
DDI1,ENSG00000170967,protein_coding,2557,ENSP00000302805,396
S1PR1,ENSG00000170989,protein_coding,5223,ENSP00000305416,382
HS6ST2,ENSG00000171004,protein_coding,5122,ENSP00000359870,645
OR4D5,ENSG00000171014,protein_coding,957,ENSP00000305970,318
PYGO1,ENSG00000171016,protein_coding,9005,ENSP00000302327,419
LRRC8E,ENSG00000171017,protein_coding,4329,ENSP00000306524,796
PKIA,ENSG00000171033,protein_coding,4015,ENSP00000336552,76
XKR6,ENSG00000171044,protein_coding,5676,ENSP00000416707,641
TSNARE1,ENSG00000171045,protein_coding,4339,ENSP00000499343,638
FPR2,ENSG00000171049,protein_coding,3625,ENSP00000340191,351
FPR1,ENSG00000171051,protein_coding,2583,ENSP00000302707,350
PATE1,ENSG00000171053,protein_coding,2362,ENSP00000307164,126
OR13H1,ENSG00000171054,protein_coding,927,ENSP00000340748,308
FEZ2,ENSG00000171055,protein_coding,8938,ENSP00000368547,380
